DATE,OPEN,HIGH,LOW,CLOSE,VOL,P,R,RINFO
20171001,0.021678,0.032226,0.017354,0.024969,50068700,0,0,0
20171002,0.024607,0.030088,0.019969,0.025932,57641300,0,0,0
20171003,0.025757,0.027425,0.020690,0.020816,16997800,0,0,0
20171004,0.020864,0.022806,0.020864,0.021931,9000050,0,0,0
20171005,0.021951,0.022154,0.020859,0.021489,5562510,0,0,0
20171006,0.021359,0.021542,0.018360,0.018539,7780710,0,0,0
20171007,0.018414,0.021050,0.017620,0.020941,7411240,0,0,0
20171008,0.020929,0.023598,0.020147,0.020477,7727460,0,0,0
20171009,0.020344,0.022807,0.020342,0.022114,4663310,0,0,0
20171010,0.022112,0.022446,0.021279,0.021531,2725600,0,0,0
20171011,0.021480,0.022576,0.020976,0.022520,3606720,0,0,0
20171012,0.022538,0.026763,0.021825,0.026252,8680640,0,0,0
20171013,0.026061,0.033816,0.025195,0.033641,15613600,0,0,0
20171014,0.033876,0.038268,0.029255,0.032465,27853200,0,0,0
20171015,0.032874,0.033641,0.028694,0.030049,7104990,0,0,0
20171016,0.029939,0.030749,0.028577,0.028948,6196030,0,0,0
20171017,0.028953,0.029628,0.025482,0.027217,7039900,0,0,0
20171018,0.027219,0.027360,0.024637,0.026691,2336180,0,0,0
20171019,0.026704,0.027112,0.025772,0.027032,2897720,0,0,0
20171020,0.026982,0.030855,0.026612,0.030630,8716410,0,0,0
20171021,0.030805,0.030805,0.027977,0.028436,5344520,0,0,0
20171022,0.028565,0.028744,0.027093,0.027729,2930210,0,0,0
20171023,0.027684,0.028051,0.024345,0.025454,3517050,0,0,0
20171024,0.025339,0.028956,0.023766,0.027193,7589560,0,0,0
20171025,0.027038,0.027846,0.026107,0.027527,2561430,0,0,0
20171026,0.027409,0.027560,0.026478,0.027132,2437710,0,0,0
20171027,0.027138,0.027463,0.025674,0.026382,2511440,0,0,0
20171028,0.026339,0.026853,0.025593,0.025866,1739460,0,0,0
20171029,0.025831,0.029837,0.025626,0.028607,4746180,0,0,0
20171030,0.028318,0.028874,0.027586,0.028583,3781270,0,0,0
20171031,0.028547,0.030714,0.028075,0.030437,7304450,0,0,0
20171101,0.029126,0.029219,0.022986,0.022986,9382780,0,0,0
20171102,0.023079,0.024977,0.018210,0.021306,6165050,0,0,0
20171103,0.021418,0.023213,0.019827,0.022628,2836080,0,0,0
20171104,0.022641,0.023849,0.021970,0.022022,2626920,0,0,0
20171105,0.022054,0.023006,0.020635,0.020635,2396230,0,0,0
20171106,0.020977,0.023609,0.020534,0.021881,4591160,0,0,0
20171107,0.021846,0.023347,0.021414,0.022195,2539540,0,0,0
20171108,0.021912,0.026393,0.021660,0.025186,6367000,0,0,0
20171109,0.025160,0.035060,0.025006,0.032053,18716200,0,0,0
20171110,0.032219,0.033348,0.026451,0.027119,6766780,0,0,0
20171111,0.026891,0.029659,0.025684,0.027437,5532220,0,0,0
20171112,0.027481,0.027952,0.022591,0.023977,7280250,0,0,0
20171113,0.024364,0.026300,0.023495,0.025808,4419440,0,0,0
20171114,0.025797,0.026788,0.025342,0.026230,3033290,0,0,0
20171115,0.026116,0.027773,0.025261,0.026445,6858800,0,0,0
20171116,0.026583,0.028170,0.025654,0.027580,4888130,0,0,0
20171117,0.027143,0.027436,0.025184,0.025773,3578870,0,0,0
20171118,0.025597,0.027122,0.024748,0.026369,2930550,0,0,0
20171119,0.026242,0.028478,0.025581,0.028084,4725050,0,0,0
20171120,0.028152,0.032300,0.027612,0.029581,16172400,0,0,0
20171121,0.029587,0.029709,0.027404,0.028331,5836790,0,0,0
20171122,0.028399,0.029035,0.027891,0.028549,4938480,0,0,0
20171123,0.028540,0.028678,0.027444,0.027444,5132300,0,0,0
20171124,0.027406,0.028597,0.026963,0.028382,5502350,0,0,0
20171125,0.028324,0.030447,0.027747,0.030447,6156460,0,0,0
20171126,0.030437,0.039855,0.030118,0.036332,30527100,0,0,0
20171127,0.036618,0.057127,0.036618,0.050593,77777300,0,0,0
20171128,0.050626,0.131730,0.047949,0.119744,240338000,0,0,0
20171129,0.118235,0.146906,0.081436,0.089718,210625000,0,0,0
20171130,0.094931,0.128303,0.094931,0.119883,124345000,0,0,0
20171201,0.116622,0.131352,0.113031,0.131352,73657600,0,0,0
20171202,0.131633,0.138869,0.129132,0.132351,56712600,0,0,0
20171203,0.132351,0.139220,0.124945,0.131807,46458900,0,0,0
